nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0004198	David Acord	\N	\N	sound_department,actor,miscellaneous	tt2527338,tt11271038,tt6791350,tt9253284
nm0004199	Nicolas Amiache	\N	\N	assistant_director,production_manager	tt0225605,tt0441912,tt0363263,tt0330247
nm0004200	John Ian Briody	\N	\N	miscellaneous,assistant_director	tt0186975,tt0132512,tt0155267,tt0142192
nm0004201	Neil Cedar	\N	\N	sound_department,actor,miscellaneous	tt0473308,tt0240515,tt0115641,tt2149175
nm0004202	Jean-Pierre Duret	1953	\N	sound_department,director,writer	tt1827512,tt2737050,tt1270680,tt0092593
nm0004203	Abi Feijó	1956	\N	director,producer,editor	tt0298277,tt0108030,tt0121606,tt5573970
nm0004204	Peter Freeman	\N	\N	assistant_director,casting_department,production_manager	tt6475714,tt9814116,tt2708480,tt2934286
nm0004205	John Frick	\N	\N	art_director,art_department,production_designer	tt1458175,tt0133751,tt0387808,tt1403865
nm0004206	Goran Gajic	1962	\N	director,writer,actor	tt0105946,tt9861884,tt4455788,tt0244627
nm0004207	Giel van Geloven	1972	\N	sound_department,music_department,camera_department	tt0808174,tt1634332,tt1129447,tt0239020
nm0004208	Gabriel Guy	1976	\N	sound_department,music_department,actor	tt2245084,tt0346156,tt2953050,tt2294629
nm0004209	E.B. Hughes	\N	\N	director,writer,producer	tt6745550,tt1476425,tt8064374
nm0004210	Nicholas Korda	1945	2018	sound_department,editorial_department,music_department	tt0140352,tt0498380,tt0418689,tt0232500
nm0004211	Nikolas Korda	1963	\N	assistant_director,production_manager,producer	tt0918940,tt2015381,tt3896198,tt0167260
nm0004212	Peter F. Kurland	\N	\N	sound_department,producer,miscellaneous	tt1403865,tt0477348,tt0358273,tt0119654
nm0004213	Cliff Latimer	\N	\N	sound_department,miscellaneous,editorial_department	tt0119177,tt0316732,tt0115857,tt0365929
nm0004214	Bey Logan	1963	\N	producer,actor,writer	tt0288045,tt0865556,tt4327752,tt8180932
nm0004215	Mark Lombardo	1949	\N	producer,production_manager,actor	tt0280665,tt0091757,tt2058673,tt1529233
nm0004216	Gerard McCann	\N	\N	music_department,sound_department,soundtrack	tt1790885,tt1707386,tt1201607,tt2431286
nm0004217	André Øvredal	\N	\N	director,writer,producer	tt3289956,tt5715066,tt4583446,tt1740707
nm0004218	Péter Palátsik	\N	\N	writer,assistant_director,director	tt0197676,tt0388136,tt0454814,tt0245893
nm0004219	Klaus Peintner	\N	\N	sound_department	tt0120753,tt0245686,tt0185431,tt0205000
nm0004220	Doug Pope	\N	\N	sound_department,cinematographer,editor	tt0332255,tt0243145
nm0004221	Will Ralston	\N	\N	sound_department,writer,miscellaneous	tt9308346,tt0306414,tt4998350,tt1279972
nm0004222	Hansl Schulder	\N	\N	writer	tt0145649
nm0004223	Philip Sgriccia	\N	\N	producer,director,editor	tt13159924,tt1190634,tt0460681,tt0092402
nm0004224	Anne Sirois	\N	\N	assistant_director,miscellaneous,producer	tt0885761,tt1588173,tt0271543,tt1756750
nm0004225	Eduardo Soto-Falcon	\N	\N	director,writer,editor	tt0403830,tt1981685,tt0945533,tt0241798
nm0004226	David B. Thompson	\N	\N	editor,editorial_department,actor	tt1517121,tt1114706,tt1567215,tt0285331
nm0004227	Dick Ziker	1940	\N	stunts,assistant_director,actor	tt0090180,tt0080455,tt0070909,tt0284490
nm0004228	Elmo Weber	\N	\N	sound_department,soundtrack,composer	tt9619798,tt2106651,tt0842926,tt2479478
nm0004229	Adam Greenberg	1937	\N	cinematographer,camera_department,miscellaneous	tt0120184,tt0103064,tt0099653,tt0088247
nm0004230	Frank Loesser	1910	1969	soundtrack,music_department,writer	tt0094737,tt0041687,tt0348150,tt0045325
nm0004231	Kenny Davis	1940	2016	actor	tt0077031,tt0087363,tt0426371,tt1810683
nm0004232	Erik Svane	\N	\N	actor	tt0331770,tt0180837,tt0137546,tt0161203
nm0004233	Nick Gillard	\N	\N	stunts,actor,assistant_director	tt0102798,tt0120915,tt0493464,tt0245844
nm0004234	Alfonso Gomez-Rejon	\N	\N	producer,director,assistant_director	tt2582496,tt1034389,tt0473705,tt1844624
nm0004235	James William Newport	\N	\N	production_designer,art_director,art_department	tt0101452,tt0814022,tt3522806,tt0286486
nm0004236	Ângelo Antônio	1964	\N	actor,producer	tt2390460,tt1234559,tt0439547,tt0142045
nm0004237	Ângelo Antônio	1939	1983	actor	tt0201599,tt0139077,tt0200417,tt0200884
nm0004238	Cindy Geppi	1967	\N	actress	tt0094155
nm0004239	Meg Thalken	1954	\N	actress	tt0095889,tt0085346,tt0120873,tt0108757
nm0004240	Tom Scorza	\N	\N	writer	tt0157871,tt11769434
nm0004241	Donald E. Thorin	1934	2016	cinematographer,camera_department,assistant_director	tt0095631,tt0091129,tt0098439,tt0083190
nm0004242	Fidel Castro	1926	2016	actor,miscellaneous	tt2088683,tt3967500,tt1098200,tt0827190
nm0004243	Eric Mises-Rosenfeld	\N	\N	visual_effects	tt0758730,tt0267804,tt0119707,tt0329691
nm0004244	Jacques Tati	1907	1982	writer,actor,director	tt0062136,tt0040497,tt0050706,tt0046487
nm0004245	Carla S. Nemec	\N	\N	art_department,miscellaneous	tt0120053,tt2935510,tt0117998,tt0948470
nm0004246	Pamela Scott Arnold	\N	\N	editor,editorial_department,music_department	tt1597089,tt4210994,tt0194624,tt3495774
nm0004247	Bob Sarles	1957	\N	editor,producer,editorial_department	tt0124010,tt5432624,tt3264110,tt0103520
nm0004248	Georges Corraface	1952	\N	actor,producer,writer	tt0097810,tt0116225,tt0110785,tt0378897
nm0004249	Curtis Choy	\N	\N	sound_department,director,cinematographer	tt0406729,tt0468963,tt0406763,tt0292515
nm0004250	Quentin Lee	\N	\N	producer,director,writer	tt14016562,tt13609178,tt6342012,tt1024770
nm0004251	Sharon Smith Holley	\N	\N	visual_effects,editorial_department,production_manager	tt0949731,tt0437086,tt5433140,tt1025100
nm0004252	Thomas Duval	\N	\N	visual_effects,special_effects,editor	tt0364970,tt0118583,tt1129442,tt1034032
nm0004253	Marc Pollon	\N	\N	editor,editorial_department	tt6045840,tt5987254,tt1405406,tt9742936
nm0004254	Edward Terry	\N	\N	actor,writer,art_department	tt0100079,tt0092843,tt0080527
nm0004255	Laura Marolakos	\N	\N	costume_department,costume_designer	tt0209144,tt0343135,tt0278488,tt0119891
nm0004256	Suzan Derkson	\N	\N	assistant_director,production_manager,producer	tt0306047,tt14637386,tt2626350,tt0175142
nm0004257	James R. Bagdonas	1951	\N	cinematographer,camera_department,director	tt0108724,tt0086734,tt1442437,tt0283111
nm0004258	Pino Ammendola	1951	\N	actor,writer,miscellaneous	tt0103873,tt2869788,tt7144978,tt18115604
nm0004259	André Kaminski	1985	\N	actor	tt0366767,tt0806910,tt0239450,tt2133298
nm0004260	Pamela Bowman	\N	\N	actress	tt0083131,tt0086501,tt0086494,tt0083437
nm0004262	Lynn Marie Latham	\N	\N	writer,producer,miscellaneous	tt0106127,tt0101121,tt0078638,tt0069658
nm0004263	Lynne Latham	\N	\N	actress,casting_department,soundtrack	tt0075485,tt0081777,tt0082474,tt0090073
nm0004264	Jude Herrera	\N	\N	actress,miscellaneous	tt0294579,tt0149907,tt0157566,tt0243222
nm0004265	Maria Herrera	1969	\N	actress,producer	tt0289791,tt4733624,tt16030542,tt0837563
nm0004266	Anne Hathaway	1982	\N	actress,soundtrack,producer	tt0758752,tt1084950,tt1345836,tt1707386
nm0004267	Xavier Grobet	1964	\N	cinematographer,camera_department,actor	tt2381941,tt1121977,tt0457510,tt0247196
nm0004268	Mark Allen	\N	\N	sound_department,music_department,miscellaneous	tt0475784,tt0285333,tt2261227,tt0445946
nm0004269	Oliver Driscoll	1974	\N	camera_department,actor,miscellaneous	tt0364970,tt8041270,tt1524137,tt0816711
nm0004270	Fabiomassimo Dell'Orco	1964	\N	production_manager,producer,location_management	tt0384766,tt8106534,tt1608290,tt0116209
nm0004271	Paul Curtis	1970	\N	visual_effects,producer,cinematographer	tt0120738,tt0134847,tt2716482,tt12614000
nm0004272	Paul Hipp	1963	\N	actor,soundtrack,composer	tt0119668,tt0103759,tt0119094,tt0104714
nm0004273	Joel Kramer	1957	\N	stunts,assistant_director,actor	tt1856101,tt0093260,tt2820852,tt0079945
nm0004274	Martijn Veltman	\N	\N	camera_department,director,writer	tt0996979,tt2771372,tt0331610,tt0246751
nm0004275	Steven Wren	\N	\N	assistant_director,location_management,producer	tt0238035,tt0084867,tt0116723,tt0109178
nm0004276	Peter Menich	\N	\N	visual_effects,miscellaneous,animation_department	tt0120755,tt0120053,tt0377062,tt0120738
nm0004277	Adam Belanoff	1962	\N	producer,writer,miscellaneous	tt0458253,tt0115144,tt1936532,tt0092455
nm0004278	Terry Chapman	\N	\N	special_effects,miscellaneous	tt0796366,tt1951266,tt1440129,tt1951265
nm0004279	Liz Radley	\N	\N	visual_effects,camera_department,miscellaneous	tt0117731,tt0115857,tt0119654,tt0111280
nm0004280	Chris Blackwood	1972	\N	stunts,actor	tt0120902,tt0163025,tt0120157,tt0301470
nm0004281	Stephen Butcher	1946	\N	director,producer,actor	tt0074035,tt0086699,tt1382578,tt0248087
nm0004282	Anne Francis	1930	2011	actress,soundtrack	tt0049223,tt0047849,tt0058814,tt0059678
nm0004283	Sharon Farber	\N	\N	composer,music_department,producer	tt0256394,tt4177080,tt10410506,tt0069658
nm0004284	Cristine Rose	1951	\N	actress	tt0092455,tt0813715,tt0207201,tt0364845
nm0004285	Oak O'Connor	\N	\N	production_manager,producer,assistant_director	tt0183280,tt0448156,tt0159922,tt0115674
nm0004286	Clifton Collins Jr.	1970	\N	actor,producer,director	tt0379725,tt0765010,tt0796366,tt0181865
nm0004287	Alex Thomson	1929	2007	camera_department,cinematographer,visual_effects	tt0120053,tt0116477,tt0089469,tt0082348
nm0004288	Jeff Lass	\N	\N	composer,soundtrack,music_department	tt0109987,tt0099422,tt0106644,tt2066176
nm0004289	Bryan Handy	\N	\N	actor,miscellaneous	tt0412253,tt2989692,tt5632318,tt0203078
nm0004290	Margaret Booth	1898	2002	editor,editorial_department,producer	tt0026752,tt0074937,tt0083564,tt0070903
nm0004291	Nargis	1929	1981	actress	tt0050188,tt0041161,tt0156923,tt0051340
nm0004292	Raj Kapoor	1924	1988	actor,producer,director	tt0058547,tt0152139,tt0066070,tt0084532
nm0004293	Matt Bellner	1969	\N	script_department,actor,assistant_director	tt0058796,tt0118484,tt0108778,tt1548544
nm0004294	Nadia Bjorlin	1980	\N	actress,soundtrack	tt0058796,tt1695746,tt0780595,tt14550714
nm0004295	Michael Stearns	1940	2007	actor	tt0078767,tt0063928,tt0154029,tt0069768
nm0004296	Tamara Torres	1979	\N	actress,miscellaneous,make_up_department	tt0987915,tt0376720,tt0230030,tt0230838
nm0004297	Tamara Torres	\N	\N	location_management	tt0106257
nm0004298	David T. Anderson	\N	\N	art_department,camera_department	tt0110620,tt0181984
nm0004299	Jason Board	1965	\N	special_effects,art_department	tt0800080,tt0211443,tt0186151,tt1053424
nm0004300	Buddy Bregman	1930	2017	producer,director,music_department	tt0245633,tt0245675,tt0425413,tt0086425
nm0004301	Alexandra Adi	1971	\N	actress	tt0155776,tt0116168,tt0118887,tt0163651
nm0004302	Ken Kelsch	\N	\N	cinematographer,actor,camera_department	tt0103759,tt0116378,tt0068833,tt0899128
nm0004303	Gavin Hood	1963	\N	actor,director,producer	tt0468565,tt5431890,tt2057392,tt0178860
nm0004304	Jonathon E. Salzman	\N	\N	camera_department,cinematographer	tt0165854,tt0101410,tt0139654,tt0133952
nm0004305	George Miller	1943	2023	director,producer,assistant_director	tt0067408,tt0076945,tt0084296,tt0100240
nm0004306	George Miller	1945	\N	producer,writer,director	tt1392190,tt0366548,tt0082694,tt0079501
nm0004307	Shane Salerno	1972	\N	producer,writer,music_department	tt9174536,tt1596753,tt1630029,tt0120591
nm0004308	Dirk Ahner	1973	\N	writer,camera_department,director	tt2171897,tt0221928,tt0222256,tt3072732
nm0004309	Shirley Knight	1936	2020	actress,producer,soundtrack	tt0456554,tt1114740,tt0119822,tt0056541
nm0004310	Larry Fine	1902	1975	actor,soundtrack,writer	tt0056579,tt0025688,tt0027529,tt0044007
nm0004311	Danny B. Harvey	\N	\N	composer,soundtrack,actor	tt12861508,tt1104052,tt0144814,tt0349710
nm0004312	Richard Milward	\N	\N	editor,editorial_department,miscellaneous	tt0166047,tt0120199,tt0252963,tt12749392
nm0004313	John A. Aiello	\N	\N	casting_director,casting_department	tt0115123,tt0115285,tt0098772,tt0117218
nm0004314	Angie Luckey	\N	\N	editorial_department,sound_department,actress	tt0098382,tt0311429,tt0295701,tt0106856
nm0004315	Eric Le Roy	1962	\N	actor,assistant_director	tt0260192,tt0267103,tt0203579,tt0088462
nm0004316	Philip Judd	1953	\N	music_department,composer,soundtrack	tt0099138,tt0101692,tt0095996,tt0084728
nm0004317	Phil Judd	1948	\N	sound_department,actor,director	tt0076299,tt0105488,tt0187636,tt0280490
nm0004318	Michel Trouillard	\N	\N	sound_department	tt0112366,tt0097588,tt0095710,tt0089776
nm0004319	Sarah Robinson	\N	\N	costume_department,art_department,miscellaneous	tt2316204,tt2382320,tt3659388,tt4777008
nm0004320	Karl Denham	\N	\N	visual_effects,director,cinematographer	tt1104001,tt0298814,tt0112173,tt0443706
nm0004321	Henning Lohner	1961	\N	composer,director,writer	tt0460780,tt0377109,tt0298130,tt0277941
nm0004322	Patrick Ramsay	\N	\N	sound_department,producer,miscellaneous	tt0357277,tt0374455,tt0364343,tt0758730
nm0004323	Jean-Luc Dinsdale	1971	\N	visual_effects,camera_department,cinematographer	tt0118480,tt12263384,tt0457572,tt2193021
nm0004324	Caroline Hutchings	1946	\N	costume_designer,costume_department,casting_director	tt0293020,tt0072500,tt0218000,tt0247329
nm0004325	Michiel Snijders	1972	\N	producer,writer,animation_department	tt0800164,tt0408302,tt4080760,tt4809396
nm0004326	Asher Ettinger	\N	\N	composer,music_department,actor	tt11996588,tt4720284,tt0178145,tt0220760
nm0004327	Rachel Dixon	\N	\N	producer	tt0247395,tt0247435,tt0247656,tt0217007
nm0004328	Lawrence R. Leritz	1962	\N	actor,miscellaneous,producer	tt6735740,tt7620960,tt1385826
nm0004329	Brian Bowles	\N	\N	sound_department,miscellaneous	tt0775440,tt1385826,tt5027774,tt1321510
nm0004330	David Rawlins	1935	\N	editor,editorial_department,director	tt0092699,tt0090685,tt0087262,tt0078966
nm0004331	Luke Freeborn	\N	\N	art_director,art_department,production_designer	tt0796366,tt3315342,tt1355644,tt1375666
nm0004332	Robert B. Weide	\N	\N	producer,director,writer	tt0175844,tt0264235,tt0364151,tt0435651
nm0004333	John Lanza	\N	\N	producer,miscellaneous,production_manager	tt1183921,tt0112047,tt0185143,tt0795430
nm0004334	Rekha	1954	\N	actress,music_department,soundtrack	tt0246729,tt0254481,tt0083248,tt0151206
nm0004335	Hrithik Roshan	1974	\N	actor,assistant_director,music_department	tt0449994,tt0254481,tt1562872,tt5460276
nm0004336	Tristan Oliver	\N	\N	cinematographer,camera_department,actor	tt0432283,tt5104604,tt0312004,tt1623288
nm0004338	David Potischman	\N	\N	actor	tt0205940,tt0194421,tt0167880
nm0004339	Laura M. Grody	\N	\N	editorial_department,editor,actress	tt0107302,tt0102343,tt0105226,tt0099180
nm0004340	Brian Daly	\N	\N	writer	tt0134316,tt4848290
nm0004341	Diane Kirman	\N	\N	producer,casting_department,miscellaneous	tt5843878,tt0130142,tt12356844,tt1303803
nm0004342	Mitchell Rose	\N	\N	director,editor,producer	tt0467410,tt0304413,tt3223544,tt0467464
nm0004343	David S. Warner	\N	\N	camera_department,cinematographer	tt13207508,tt1964418,tt0822854,tt0758730
nm0004344	Michael Barrett	1970	\N	cinematographer,camera_department,producer	tt0247082,tt0373469,tt0308055,tt1637725
nm0004345	Richard A. Roth	1940	2017	actor,producer	tt0072608,tt0082869,tt0067803,tt0072431
nm0004346	Richard A. Roth	\N	\N		tt0110724
nm0004347	Alain Goldman	\N	\N	producer,writer,actor	tt0450188,tt2398149,tt0228786,tt0364970
nm0004348	Craig Haagensen	1947	\N	camera_department,assistant_director,cinematographer	tt2402927,tt6111574,tt0385887,tt0114746
nm0004349	Kam Heskin	1973	\N	actress,soundtrack	tt0327643,tt0366920,tt0264464,tt0133152
nm0004350	Nick Pearson	\N	\N	camera_department,art_department	tt0117060,tt0213149,tt0241303,tt0780653
nm0004351	Valerie Mayhew	\N	\N	producer,miscellaneous,writer	tt0158552,tt0118509,tt0247097,tt0106179
nm0004352	Elsa Saladin	\N	\N	actress,casting_department	tt2325761,tt1780701,tt0467427,tt0387899
nm0004353	Beatrice Pettovich	\N	\N	assistant_director,location_management,camera_department	tt0189998,tt0340096,tt0335119,tt0254199
nm0004354	Caveh Zahedi	1960	\N	director,writer,producer	tt0428649,tt0102319,tt0324369,tt13982842
nm0004355	Roger Ashton-Griffiths	1957	\N	actor,writer,director	tt0088846,tt0217505,tt0944947,tt4575576
nm0004356	Lisa Jakub	1978	\N	actress,producer	tt0203523,tt0107529,tt0107614,tt0116629
nm0004357	Michael Roberds	1964	2016	actor,producer,writer	tt0239948,tt0319343,tt1122836,tt1231587
nm0004358	Terry Odem	\N	\N	producer,miscellaneous,actress	tt0098536,tt0109830,tt0104694,tt0117887
nm0004359	Donald Vetick	1962	\N	camera_department	tt0102453,tt0099128,tt0096875,tt0489281
nm0004360	Attila Szalay	1961	\N	cinematographer,camera_department,director	tt1453159,tt1489428,tt2406376,tt5071412
nm0004361	Roger Guyett	\N	\N	visual_effects,assistant_director,actor	tt0796366,tt2527338,tt2488496,tt1677720
nm0004362	Roshan	1917	1967	composer,soundtrack,music_department	tt0350028,tt0044360,tt0057555,tt0176313
nm0004363	Rakesh Roshan	1949	\N	actor,producer,director	tt0254481,tt1029231,tt0432637,tt0234000
nm0004364	Merle Bertrand	\N	\N	assistant_director,camera_department,producer	tt0296745,tt0109363,tt0111361,tt0367995
nm0004365	Fred Williamson	1938	\N	actor,producer,director	tt0072725,tt0066026,tt0335438,tt0116367
nm0004366	Tom Wolfe	1930	2018	writer,actor,miscellaneous	tt1049951,tt0086197,tt14953612,tt0099165
nm0004367	Antonio L. Ballesteros	1910	\N	cinematographer,camera_department	tt0045713,tt0062834,tt0054422,tt0069015
nm0004368	Stanley Myers	1933	1993	composer,music_department,soundtrack	tt0100944,tt0077416,tt0093776,tt0418763
nm0004369	Robert Lyon Rasner	1973	\N	actor,writer,miscellaneous	tt0240732,tt0435770,tt3120280,tt0408524
nm0004370	Ron Petruccione	\N	\N	special_effects,stunts	tt0120611,tt0379786,tt0118928,tt0120812
nm0004371	Robert David Hall	1947	\N	actor,soundtrack,miscellaneous	tt0247082,tt0120201,tt0118437,tt0120768
nm0004372	Gary Graver	1938	2006	cinematographer,director,camera_department	tt0082004,tt0121549,tt0129510,tt0178845
nm0004373	Martin Fischer	\N	\N	camera_department,transportation_department,miscellaneous	tt0101458,tt0130827,tt1972571,tt0101606
nm0004374	Bruce Woloshyn	1964	\N	visual_effects,actor,editorial_department	tt0118480,tt0374455,tt1583421,tt0306841
nm0004375	John Dykstra	1947	\N	visual_effects,producer,special_effects	tt0145487,tt0089489,tt0076759,tt0316654
nm0004376	Franka Potente	1974	\N	actress,soundtrack,director	tt0372183,tt0258463,tt0203632,tt0130827
nm0004377	Heather Scobie	\N	\N	camera_department,producer,miscellaneous	tt1763327,tt1221355,tt0177971,tt0155425
nm0004378	Jimmy Mcconnell	\N	\N	stunts,actor	tt0102685,tt0109303,tt0118615,tt0118688
nm0004379	Pierpaolo Tiano	\N	\N	composer,actor,music_department	tt1319736,tt0234137,tt1235543,tt1301309
nm0004380	Antoine de Caunes	1953	\N	actor,soundtrack,director	tt0235606,tt2313389,tt0119307,tt0774756
nm0004381	Emma de Caunes	1976	\N	actress,director,producer	tt0401383,tt0354899,tt0453451,tt0120405
nm0004382	Jean-Jacques Vanier	\N	\N	actor	tt0111342,tt0105132,tt3223302,tt0781455
nm0004383	Michael Kamen	1948	2003	soundtrack,music_department,composer	tt0093409,tt0120903,tt0112883,tt0102798
nm0004384	Wojciech Kilar	1932	2013	composer,soundtrack,music_department	tt0142688,tt0109579,tt0253474,tt0103874
nm0004385	Michael Broomberg	\N	\N	sound_department	tt0407304,tt0409459,tt4633694,tt1190080
nm0004386	Jerome R. Vitucci	\N	\N	sound_department,miscellaneous	tt0119822,tt0108162,tt0119396,tt0259711
nm0004387	Helmi Sirkiä	1981	\N	actress,director,writer	tt0249709,tt0247109,tt0249289,tt0249597
nm0004388	Michael Selditch	\N	\N	producer,director,writer	tt9139238,tt0358332,tt17634108,tt2498968
nm0004389	Jason Kaplan	1969	\N	sound_department,editorial_department	tt0243655,tt0180093,tt0218188,tt0309986
nm0004390	Teri Kennedy	\N	\N	producer,director,camera_department	tt0373395,tt7620590,tt0239195,tt0103520
nm0004391	Chris Dowell	\N	\N	production_manager,editorial_department,visual_effects	tt1877832,tt0120903,tt6565702,tt5013056
nm0004392	Charles Blackman	1928	2016	make_up_department	tt0176357,tt0053810,tt0058968,tt0063811
nm0004393	David J. Barker	1962	\N	special_effects,art_department	tt1340138,tt0399201,tt4154796,tt0453467
nm0004394	Mark Kadlec	\N	\N	actor,miscellaneous,assistant_director	tt0186454,tt0197072,tt0207100,tt0256856
nm0004395	Adam Scott	1973	\N	actor,producer,soundtrack	tt0838283,tt11280740,tt1266020,tt3920596
nm0004396	Steven E. Hoffman	1969	\N	producer	tt0160289,tt0249082
nm0004397	Frank Walsh	\N	\N	art_director,production_designer,art_department	tt0089489,tt1375666,tt0462335,tt1186830
nm0004398	Rodney Glenn	\N	\N	sound_department,editorial_department,miscellaneous	tt0372784,tt0074851,tt0088846,tt0081633
nm0004399	William F. Reynolds	\N	\N	art_department,set_decorator,special_effects	tt2199571,tt2053463,tt0475276,tt0450232
nm0004400	John Curcio	\N	\N	sound_department,producer,writer	tt0084237,tt0068588,tt0090520,tt2816232
nm0004401	Steven M. Stern	1967	\N	composer,music_department,soundtrack	tt2267998,tt3315342,tt1431045,tt0117500
nm0004402	Dan Wool	\N	\N	composer,soundtrack,music_department	tt15090124,tt0118426,tt0091954,tt0118174
nm0004403	Paula P-Orridge	\N	\N	actress	tt0183015,tt12856970
nm0004404	Jerry D. O'Donnell	\N	\N	actor,director,writer	tt3322312,tt4158110,tt4270492,tt7817340
nm0004405	Jerry O'Donnell	\N	\N	actor	tt6473344,tt0804503,tt2660806,tt3502248
nm0004406	Curtis Smith	\N	\N	camera_department,actor,producer	tt1037705,tt2980592,tt1767354,tt0409847
nm0004407	Curtis Smith	1974	\N	assistant_director,miscellaneous,actor	tt0790712,tt9071322,tt4385888,tt9606374
nm0004408	Carrie Urzua	\N	\N	camera_department,miscellaneous	tt0217894,tt0168589,tt0208104,tt0183280
nm0004409	Kathy Wittes	1971	\N	actress	tt1720621,tt1582382,tt1336617,tt15314332
nm0004410	Mark Neveldine	\N	\N	director,actor,writer	tt1034032,tt0964539,tt0479884,tt1121931
nm0004411	Jonathan Levit	1971	\N	actor,miscellaneous,producer	tt1441135,tt7585146,tt1670345,tt0790628
nm0004412	Ed Solomon	1960	\N	writer,script_department,producer	tt0096928,tt0119654,tt0304328,tt3110958
nm0004413	Brian Hamill	\N	\N	camera_department,actor,producer	tt0084805,tt0094737,tt0075686,tt0120184
nm0004414	Paul Barge	1890	1960	actor	tt0031818,tt0043386,tt0041800,tt0051624
nm0004415	Louis Irving	1950	2016	cinematographer,camera_department,actor	tt0117331,tt0113875,tt0426741,tt0089530
nm0004416	S.P. Balasubrahmanyam	1946	2020	music_artist,music_department,soundtrack	tt0082314,tt0109117,tt0100095,tt1305797
nm0004417	N.T. Rama Rao	1923	1996	actor,director,writer	tt0259576,tt0259242,tt0259261,tt0259579
nm0004418	Kajol	1974	\N	actress,soundtrack	tt0248126,tt0172684,tt1188996,tt0439662
nm0004419	Edida Nageshwara Rao	1934	2015	producer,actor	tt0086231,tt0156059,tt0079889,tt0090109
nm0004420	Larry Adlon	1967	\N	visual_effects,animation_department,composer	tt3183660,tt0144120,tt0418819,tt0115168
nm0004421	Rich Robinson	\N	\N	art_department	tt0117247,tt1389137,tt1931533,tt0424345
nm0004422	Rich Robinson	1961	\N	producer,miscellaneous	tt0447778,tt0450348,tt0407383,tt0431501
nm0004423	Gerry Robert Byrne	\N	\N	production_manager,producer,actor	tt6866266,tt0388795,tt1327773,tt0217505
nm0004424	Brian Gunter	\N	\N	camera_department,cinematographer	tt0838232,tt0878804,tt0265349,tt0107978
nm0004425	Beau Holden	1960	\N	transportation_department,miscellaneous,actor	tt0319262,tt0377062,tt0232500,tt1981128
nm0004426	Mike McGowan	1973	\N	camera_department,cinematographer	tt8184568,tt5649144,tt7165804,tt6511932
nm0004427	Philip Wilson	\N	\N	miscellaneous	tt0107302,tt0210945,tt0104691,tt0138097
nm0004428	Jeff Rafner	\N	\N	production_manager,producer,assistant_director	tt0111756,tt0099582,tt0118715,tt0091129
nm0004429	Dharmendra	1935	\N	actor,producer,miscellaneous	tt0073707,tt0070935,tt0099652,tt0233147
nm0004430	Karan Kapoor	1962	\N	actor,camera_department,miscellaneous	tt0088335,tt0086992,tt0359614,tt0153545
nm0004431	Kunal Kapoor	1959	\N	actor,producer,production_manager	tt0086711,tt0119132,tt1188982,tt0101283
nm0004432	Prithviraj Kapoor	1906	1972	actor,director	tt0054098,tt0252677,tt0028626,tt0241387
nm0004433	Shammi Kapoor	1931	2011	actor,director	tt0147925,tt0084866,tt0231226,tt0056379
nm0004434	Shashi Kapoor	1938	2017	actor,producer,assistant_director	tt0072860,tt0080982,tt0101283,tt0077783
nm0004435	Rajesh Khanna	1942	2012	actor,music_department,soundtrack	tt0154749,tt0150251,tt0068257,tt0066763
nm0004436	Rajesh Roshan	1955	\N	composer,soundtrack,music_department	tt0113526,tt5460276,tt0234000,tt0254481
nm0004437	Sridevi	1963	2018	actress,music_department,producer	tt0097045,tt5690142,tt0091601,tt2181931
nm0004438	Mia Farrell	\N	\N	miscellaneous,editorial_department,publicist	tt0169376,tt0338097,tt9046686,tt0373024
nm0004439	Elio Quiroga	\N	\N	producer,writer,director	tt0484273,tt4168132,tt8343828,tt0116346
nm0004440	Martin Sharpe	\N	\N	editor,editorial_department,sound_department	tt0115113,tt0113943,tt0468431,tt0098913
nm0004441	Larry Ruppel	\N	\N	animation_department,visual_effects	tt0365907,tt7160070,tt2241351,tt0099472
nm0004442	Evan Green-Hughes	\N	\N	special_effects,visual_effects	tt0436697,tt0280788,tt0366777,tt0445922
nm0004443	Fiachra Trench	1941	\N	music_department,soundtrack,composer	tt0095016,tt4139588,tt0298130,tt0213149
nm0004444	Askia Won-Ling Jacob	\N	\N	costume_department,actress,costume_designer	tt0775440,tt0489099,tt0217869,tt4154796
nm0004445	Dan Sharp	1958	\N	sound_department,producer	tt1386703,tt1517260,tt0120201,tt0120591
nm0004446	Bernard Weiser	\N	\N	sound_department,editor,editorial_department	tt0362227,tt0413300,tt1190080,tt0887912
nm0004447	Peter Lhotka	1962	\N	producer,production_manager,actor	tt0121200,tt0486051,tt0862856,tt0112023
nm0004448	Joel Hladecek	\N	\N	visual_effects,writer	tt0102975,tt0113243,tt0107497,tt0102798
nm0004449	Felix Werner	1966	\N	producer,miscellaneous,director	tt0337619,tt0109758,tt0443496,tt0119558
nm0004450	Sebastian DeVicente	\N	\N	actor	tt0450294,tt0246498,tt0235333,tt0250100
nm0004451	Thorsten Schmidt	1969	\N	director,actor,writer	tt2286220,tt0209282,tt0192576,tt5506088
nm0004452	Csaba Erös	1959	\N	sound_department,miscellaneous,actor	tt0192533,tt2106651,tt0373981,tt0297181
nm0004453	Arthur Cohn	1927	\N	producer,production_manager,executive	tt5459382,tt0372824,tt0291003,tt0140888
